Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Profondeur relative/repère de mesure	Côte NGF	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10962X0075/PZ	2	Profondeur relative	06/05/2016 23:00	10.79	134.96	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	07/05/2016 23:00	11.85	133.9	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	08/05/2016 06:00	11.96	133.79	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	09/05/2016 00:00	10.12	135.63	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	10/05/2016 00:00	9.09	136.66	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	11/05/2016 00:00	8.75	137	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	12/05/2016 00:00	8.7	137.05	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	13/05/2016 00:00	8.55	137.2	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	14/05/2016 22:00	8.72	137.03	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	15/05/2016 22:00	8.87	136.88	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	16/05/2016 20:00	8.9	136.85	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
10962X0075/PZ	2	Profondeur relative	17/05/2016 23:00	9.11	136.64	2	Point courant	1	Valeur mesurée	1	Correcte	3	NV2	N	Naturel			2.681799847	42.65957309	Syndicat Mixte pour la Protection et la Gestion des Nappes Souterraines de la Plaine du Roussillon
