Code national BSS	Code côte chronique	Côte chronique définie pour le point d'eau	Date de la mesure	Côte NGF	Profondeur relative/repère de mesure	Code continuité	Continuité	Code mode obtention	Mode obtention	Code qualification	Qualification de la mesure	Code statut de la mesure	Statut de la mesure	Code nature de la mesure	Nature de la mesure	Profondeur début site de mesure	Profondeur fin site de mesure	X_WGS84	Y_WGS84	Producteur de données
10963X0059/MEDALU	2	Profondeur relative	13/02/1993 00:00	112.32	43.4	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	14/02/1993 00:00	112.37	43.35	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	15/02/1993 00:00	112.37	43.35	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	16/02/1993 00:00	112.45	43.27	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	17/02/1993 00:00	112.46	43.26	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	18/02/1993 00:00	112.46	43.26	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	19/02/1993 00:00	112.46	43.26	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	20/02/1993 00:00	112.5	43.22	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	21/02/1993 00:00	112.51	43.21	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
10963X0059/MEDALU	2	Profondeur relative	22/02/1993 00:00	112.56	43.16	2	Point courant	1	Valeur mesurée	1	Correcte	2	NV1			40.11	57.3	2.75338679	42.60848358	BRGM
